timestamp,F_close,BA_close,RTN_close,VLO_close,AAL_close,CI_close,IBM_close,PG_close
2018-12-03,9.6,359.96,172.87,81.3,39.65,224.84,125.31,93.32
2018-11-30,9.41,346.76,175.34,79.9,40.16,223.38,124.27,94.51
2018-11-29,9.37,342.56,173.58,79.47,38.42,222.52,121.48,92.82
2018-11-28,9.41,333.5,173.61,79.42,38.94,221.72,123.0,93.01
2018-11-27,9.28,318.03,171.67,77.43,38.29,216.8,120.03,92.72
2018-11-26,9.4,316.36,174.63,78.78,38.1,216.28,119.56,91.94
2018-11-23,9.13,312.32,173.58,77.03,37.95,211.16,117.19,91.54
2018-11-21,9.11,317.32,172.28,79.2,36.31,209.71,118.57,91.41
2018-11-20,9.06,317.7,174.02,78.61,35.59,207.78,117.2,92.1
2018-11-19,9.25,320.94,176.44,80.69,35.82,211.19,120.31,93.29
2018-11-16,9.05,335.95,182.08,83.95,36.75,213.72,121.57,93.82
2018-11-15,9.31,341.57,183.2,83.27,37.82,212.8,121.44,93.83
2018-11-14,9.54,344.72,180.58,82.34,38.11,212.35,120.2,93.49
2018-11-13,9.54,349.51,180.62,83.57,37.78,213.05,120.84,93.47
2018-11-12,9.49,357.03,182.03,85.97,36.86,217.42,120.9,92.7
2018-11-09,9.38,369.34,188.02,87.58,36.22,217.65,123.54,92.41
2018-11-08,9.46,370.77,186.66,88.7,36.86,220.49,123.38,91.36
2018-11-07,9.6,372.02,187.32,92.59,36.97,220.29,124.84,91.29
2018-11-06,9.54,366.47,184.8,91.28,35.17,214.24,123.12,91.51
2018-11-05,9.53,361.98,183.06,91.15,35.72,215.5,120.06,91.2
2018-11-02,9.38,357.75,181.55,91.83,36.33,213.13,115.67,89.81
2018-11-01,9.29,363.07,180.83,92.51,36.37,216.28,116.83,89.59
2018-10-31,9.55,354.86,175.04,91.09,35.08,213.81,115.43,88.68
2018-10-30,9.46,349.91,173.14,90.1,34.66,210.26,115.4,89.19
